Query,Query Path,SrcFileName,Line,Column,NodeID,Name,DestFileName,DestLine,DestColumn,DestNodeId,DestName,Result State,Result Severity,Comment,Link,Result Status,Detection Date
Stored_XSS_All_Clients,go/Go_Critical_Risk/Stored_XSS_All_Clients,/main.go,193,18,,ReadAll,/main.go,195,8,,Fprintf,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Stored_XSS_All_Clients,go/Go_Critical_Risk/Stored_XSS_All_Clients,/main.go,93,16,,ReadAll,/main.go,202,7,,Fprintf,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Second_Order_SQL_Injection,go/Go_Critical_Risk/Second_Order_SQL_Injection,/main.go,166,25,,query,/main.go,166,19,,Query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
SQL_Injection,go/Go_Critical_Risk/SQL_Injection,/main.go,224,21,,Query,/main.go,226,11,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Second_Order_SQL_Injection,go/Go_Critical_Risk/Second_Order_SQL_Injection,/main.go,113,23,,query,/main.go,113,17,,Query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Stored_XSS_All_Clients,go/Go_Critical_Risk/Stored_XSS_All_Clients,/main.go,240,17,,ReadFile,/main.go,241,7,,Fprintf,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
SQL_Injection,go/Go_Critical_Risk/SQL_Injection,/main.go,164,21,,Query,/main.go,166,25,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
SQL_Injection,go/Go_Critical_Risk/SQL_Injection,/main.go,154,16,,FormValue,/main.go,157,12,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
SQL_Injection,go/Go_Critical_Risk/SQL_Injection,/main.go,153,18,,FormValue,/main.go,157,12,,query,To Verify,CRITICAL,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Relative_Path_Traversal,go/Go_High_Risk/Relative_Path_Traversal,/main.go,239,25,,Get,/main.go,240,35,,Join,To Verify,HIGH,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,NEW,06/25/2025 03:51
Plain_Text_Transport_Layer_in_Server,go/Go_High_Risk/Plain_Text_Transport_Layer_in_Server,/main.go,298,17,,ListenAndServe,/main.go,298,17,,ListenAndServe,To Verify,HIGH,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,NEW,06/25/2025 03:51
Sensitive_Information_Exposure_in_Cleartext_Channel,go/Go_High_Risk/Sensitive_Information_Exposure_in_Cleartext_Channel,/main.go,148,25,,handleWebSocket,/main.go,298,17,,ListenAndServe,To Verify,HIGH,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Sensitive_Information_Exposure_in_Cleartext_Channel,go/Go_High_Risk/Sensitive_Information_Exposure_in_Cleartext_Channel,/main.go,162,29,,Lambda,/main.go,298,17,,ListenAndServe,To Verify,HIGH,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
SSRF,go/Go_High_Risk/SSRF,/main.go,200,16,,Query,/main.go,88,20,,Get,To Verify,HIGH,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Reflected_XSS,go/Go_High_Risk/Reflected_XSS,/main.go,144,17,,Query,/main.go,145,7,,Fprintf,To Verify,HIGH,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Use_Of_Unsafe_Package,go/Go_Medium_Threat/Use_Of_Unsafe_Package,/main.go,16,2,,"""unsafe""",/main.go,16,2,,"""unsafe""",To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,NEW,06/25/2025 03:51
Command_Argument_Injection,go/Go_Medium_Threat/Command_Argument_Injection,/main.go,207,16,,Query,/main.go,208,43,,Output,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,NEW,06/25/2025 03:51
Use_of_Hardcoded_Password,go/Go_Medium_Threat/Use_of_Hardcoded_Password,/main.go,26,2,,dbPass,/main.go,26,2,,dbPass,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Use_of_Hardcoded_Password,go/Go_Medium_Threat/Use_of_Hardcoded_Password,/main.go,30,7,,secretKey,/main.go,30,7,,secretKey,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Missing_HSTS_Header,go/Go_Medium_Threat/Missing_HSTS_Header,/main.go,145,7,,Fprintf,/main.go,145,7,,Fprintf,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Hardcoded_Password_in_Connection_String,go/Go_Medium_Threat/Hardcoded_Password_in_Connection_String,/main.go,56,32,,"""./stocks.db""",/main.go,56,32,,"""./stocks.db""",To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Denial_Of_Service_Resource_Exhaustion,go/Go_Medium_Threat/Denial_Of_Service_Resource_Exhaustion,/main.go,164,21,,Query,/main.go,174,12,,Next,To Verify,MEDIUM,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,RECURRENT,06/24/2025 03:58
Integer_Overflow,go/Go_Low_Visibility/Integer_Overflow,/main.go,233,16,,Query,/main.go,235,3,,total,To Verify,LOW,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,NEW,06/25/2025 03:51
Improper_Error_Handling,go/Go_Low_Visibility/Improper_Error_Handling,/main.go,240,9,,_,/main.go,240,9,,_,To Verify,LOW,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,NEW,06/25/2025 03:51
Improper_Error_Handling,go/Go_Low_Visibility/Improper_Error_Handling,/main.go,234,6,,_,/main.go,234,6,,_,To Verify,LOW,,https://us.ast.checkmarx.net/results/85d86b1f-ca2a-4557-9e0f-717730d07f92/f08d9033-f81e-457b-aa16-af3e9f30e78f/sast,NEW,06/25/2025 03:51
